,,,"Author, editor or organization",Year derived,Title,Subtitle,Reference type,Periodical,DOI name,Volume,Number,Date,Page range,Keywords,Categories,StartDate (= Custom field 1)
TRUE,FALSE,FALSE,"Innes, James B.; Zong, Yongqiang; Wang, Zhanghua; Chen, Zhongyuan",2014,"Climatic and palaeoecological changes during the mid- to Late Holocene transition in eastern China: high-resolution pollen and non-pollen palynomorph analysis at Pingwang, Yangtze coastal lowlands",,Journal Article,Quaternary Science Reviews,10.1016/j.quascirev.2014.06.013,99,,,164–175,,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.2 Abrupt; 4.4 Rapid; 4.6 Disaster; 4.13 Impact; 4.25 Sharp; 4.28 Severe; 4.29 Dramatic effect; 4.42 Significant; 4.69 Shift; 5.4.4 Pollen; 6.1.2 Numerical; 7.1 Resilience; 7.2 Populations; 7.4 Adaptation; 7.6 Human activity; 7.10 Agriculture; 7.23 Complex; 7.24 Vulnerability; 7.25 Climate & circulation; 7.48 Thresholds/Tipping points; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 11.4.1.5 Yangtze River, China; 12.3.1 Climate Change; 12.3.2 Climatic cooling (e.g., 4.2 ka event); 12.4.1 Flood; 12.4.3 Drought; 13.2 4.2 kya event; 14.7 Palaeo Science; 15.1 Completed; 21 Complete set",
TRUE,FALSE,FALSE,"Madsen, David B.; Chen, Fa-Hu; Gao, Xing",2007,Changing views of Late Quaternary human adaptation in arid China,,Contribution in…,,10.1016/S1571-0866(07)09014-8,9,,,227–232,1436,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.2 Abrupt; 4.4 Rapid; 4.29 Dramatic effect; 5.34 Lit. Review; 6.2.2 Review; 7.2 Populations; 7.4 Adaptation; 7.5 Climate change; 7.10 Agriculture; 7.19 Cultural change; 8.3 Early Holocene (10,000-1500); 8.4 Prehistorical (<10,000); 9.4 Persuasion; 11.4.1 China; 13.20 Heinrich Event; 14.7 Palaeo Science; 15.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Clarke, Joanne; Brooks, Nick; Banning, Edward B.; Bar-Matthews, Miryam; Campbell, Stuart; Clare, Lee; Cremaschi, Mauro; Di Lernia, Savino; Drake, Nick; Gallinaro, Marina; Manning, Sturt; Nicoll, Kathleen; Philip, Graham; Rosen, Steve; Schoop, Ulf-Dietrich; Tafuri, Mary Anne; Weninger, Bernhard; Zerboni, Andrea",2016,Climatic changes and social transformations in the Near East and North Africa during the ‘long’ 4th millennium BC: A comparative study of environmental and archaeological evidence,,Journal Article,Quaternary Science Reviews,10.1016/j.quascirev.2015.10.003,136,,,96–121,675,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.3 Spike; 4.4 Rapid; 4.13 Impact; 4.72 Amplification; 5.1.1 Speleothem record; 5.1.2 Carbon isotope; 5.1.3 Oxygen isotope; 5.6.2 Archaeology; 5.15.2 Time Series; 5.40 Marine / lake / peat core; 6.1.2 Numerical; 6.2.2 Review; 7.1 Resilience; 7.2 Populations; 7.4 Adaptation; 7.5 Climate change; 7.10 Agriculture; 7.19 Cultural change; 7.23 Complex; 7.24 Vulnerability; 7.25 Climate & circulation; 7.28 Industrialization & infrastructure; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 9.4 Persuasion; 10.1 Start year; 10.2 End year; 11.10 Mediterranean; 12.3.6 Arid Event (Climatic); 12.4.3 Drought; 13.2 4.2 kya event; 13.9 8.2 kya event; 14.7 Palaeo Science; 15.1 Completed; 21 Complete set",
TRUE,FALSE,FALSE,"Plumlee, Geoffrey S.; Alpers, Charles N.; Morman, Suzette A.; Juan, Carma San",2016,Anticipating Environmental and Environmental-Health Implications of Extreme Storms: ARkStorm Scenario,,Journal Article,Nat. Hazards Rev. (Natural Hazards Review),10.1061/(ASCE)NH.1527-6996.0000188,17,4,,,,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.6 Disaster; 4.8 Catastrophic; 4.11 Hazard; 4.13 Impact; 5.16.3 GIS; 5.34 Lit. Review; 6.2.2 Review; 7.7 Health & psychology; 7.8 Management; 7.9 Mitigation; 7.10 Agriculture; 7.15 Response and recovery; 7.17 Habitat destruction; 7.21 Loss and damage; 7.28 Industrialization & infrastructure; 7.59 Pollution; 8.1 Contemporary (>1900); 9.4 Persuasion; 9.5 Review; 11.5.1.13 California, USA; 12.4.1 Flood; 12.4.17 Storm Surge; 12.7.1 Landslide/debris flow; 12.7.3 Denudation (water erosion); 14.1 Social Science; 15.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Folch, Arnau; Barcons, Jordi; Kozono, Tomofumi; Costa, Antonio",2017,High-resolution modelling of atmospheric dispersion of dense gas using TWODEE-2.1: application to the 1986 Lake Nyos limnic eruption,,Journal Article,Nat. Hazards Earth Syst. Sci. (Natural Hazards and Earth System Sciences),10.5194/nhess-17-861-2017,17,6,,861–879,495,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.6 Disaster; 4.8 Catastrophic; 4.11 Hazard; 4.14 Exposure; 5.13.1 Climate Models (simulation); 5.21 Mortality; 6.1.1 Statistical; 7.3 Risk; 7.9 Mitigation; 7.64 Dynamical Systems Modelling; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10.1 Start year; 11.6.4 Cameroon; 12.2.2 Limnic eruption; 13.68 1986 Lake Nyos Limnic Eruption, Cameroon; 14.3 Climate Science; 15.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Harden, Carol",2001,"SEDIMENT MOVEMENT AND CATASTROPHIC EVENTS: THE 1993 ROCKSLIDE AT LA JOSEFINA, ECUADOR",,Journal Article,PHYSICAL GEOGRAPHY,10.1080/02723646.2001.10642745,22,4,,305–320,1561,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.6 Disaster; 4.8 Catastrophic; 4.13 Impact; 4.18 High-magnitude; 4.19 frequency-magnitude; 5.12.3 Examples/Cases; 6.2.2 Review; 7.3 Risk; 7.6 Human activity; 7.21 Loss and damage; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.5.2.6 Ecuador; 12.7.1 Landslide/debris flow; 13.10 1993 La Josefina Rockslide, Ecuador; 14.2 Earth Science; 15.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Riede, Felix",2014,Towards a science of past disasters,,Journal Article,Nat Hazards (Natural Hazards),10.1007/s11069-013-0913-6,71,1,,335–362,931,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.6 Disaster; 4.11 Hazard; 4.12 Intensity; 4.13 Impact; 4.19 frequency-magnitude; 4.51 Duration; 4.78 Calamity; 5.6.2 Archaeology; 6.1.1 Statistical; 7.1 Resilience; 7.2 Populations; 7.3 Risk; 7.9 Mitigation; 7.18 Prediction; 7.19 Cultural change; 7.21 Loss and damage; 7.22 Socio/Politico/Cultural Context; 7.24 Vulnerability; 7.26 Ecology and ecosystems; 7.28 Industrialization & infrastructure; 7.30 Archaeology; 7.41 Scale; 8.1 Contemporary (>1900); 8.3 Early Holocene (10,000-1500); 8.4 Prehistorical (<10,000); 9.4 Persuasion; 11.1 Global; 12.2.3 Volcano; 13.35 Laacher See Eruption (Germany); 13.36 Thera Eruption (1610, BCE); 13.37 Volcan Ilopango (El Salvador, 6th  C. CE); 13.38 Eyjafjallajokull Eruption (Iceland, 2010); 14.7 Palaeo Science; 15.1 Completed; 17 Cluster 1; 21 Complete set",
TRUE,FALSE,FALSE,"Pepe, Caterina; Sadori, Laura; Andrieu-Ponel, Valerie; Salomon, Ferreol; Goiran, Jean-Philippe",2016,"Late Holocene pollen record from Fiume Morto (Dead River), a palaeomeander of Tiber River near Ancient Ostia (central Italy)",,Journal Article,J Paleolimnol (Journal of Paleolimnology),10.1007/s10933-016-9903-5,56,2-3,,173–187,1225,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.6 Disaster; 4.12 Intensity; 4.13 Impact; 5.4.4 Pollen; 5.40 Marine / lake / peat core; 6.1.2 Numerical; 7.33 Change; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.3.7 Italy; 12.4.11 Severe precipitation; 13.32 Little Ice Age; 14.7 Palaeo Science; 15.1 Completed; 21 Complete set",
TRUE,FALSE,FALSE,"López, María S.; Müller, Gabriela V.; Lovino, Miguel A.; Gómez, Andrea A.; Sione, Walter F.; Aragonés Pomares, Luis",2019,Spatio-temporal analysis of leptospirosis incidence and its relationship with hydroclimatic indicators in northeastern Argentina,,Journal Article,The Science of the total environment,10.1016/j.scitotenv.2019.133651,694,,,133651,25,2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.6 Disaster; 4.27 Extraordinary; 5.12.2 Case numbers; 5.13.6 Oceanic Nino Index (ONI); 5.13.8 Temperature; 5.13.10 Precipitation; 5.15.2 Time Series; 6.1.1 Statistical; 7.5 Climate change; 7.7 Health & psychology; 7.24 Vulnerability; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.5.2.3 Argentina; 12.4.1 Flood; 12.4.5 Hurricane; 12.4.11.2 Rainfall; 14.2 Earth Science; 14.5 Hydrology; 15.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Giguet-Covex, Charline; Arnaud, Fabien; Enters, Dirk; Poulenard, Jérôme; Millet, Laurent; Francus, Pierre; David, Fernand; Rey, Pierre-Jérôme; Wilhelm, Bruno; Delannoy, Jean-Jacques",2012,Frequency and intensity of high-altitude floods over the last 3.5 ka in northwestern French Alps (Lake Anterne),,Journal Article,Quat. res. (Quaternary Research),10.1016/j.yqres.2011.11.003,77,1,,12–22,1174,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.11 Hazard; 4.12 Intensity; 4.20 Frequency; 4.36 Torrential; 5.3.5 Chironomids; 5.10.8 Sediment; 5.15.1 Radiocarbon; 5.15.2 Time Series; 6.1.2 Numerical; 7.5 Climate change; 7.6 Human activity; 7.10 Agriculture; 7.17 Habitat destruction; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.3.17 France; 12.4.1 Flood; 12.4.11 Severe precipitation; 14.7 Palaeo Science; 15.1 Completed; 18 Cluster 2; 21 Complete set",
TRUE,FALSE,FALSE,"Hoffmann, Gösta; Grützner, Christoph; Reicherter, Klaus; Preusser, Frank",2015,"Geo-archaeological evidence for a Holocene extreme flooding event within the Arabian Sea (Ras al Hadd, Oman)",,Journal Article,Quaternary Science Reviews,10.1016/j.quascirev.2014.09.033,113,,,123–133,,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.11 Hazard; 4.13 Impact; 4.17 Magnitude; 5.6.2 Archaeology; 5.10.8 Sediment; 6.2.1 Visual; 7.1 Resilience; 7.2 Populations; 7.3 Risk; 7.9 Mitigation; 7.14 Early warning systems (EWS); 7.18 Prediction; 7.21 Loss and damage; 7.24 Vulnerability; 7.28 Industrialization & infrastructure; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 9.4 Persuasion; 11.4.17 Oman; 12.4.1 Flood; 12.4.17 Storm Surge; 12.4.18 Tsunami; 14.7 Palaeo Science; 15.1 Completed; 17 Cluster 1; 21 Complete set",
TRUE,FALSE,FALSE,"Blumetti, Anna Maria; DiManna, Pio; Ferreli, Luca; Fiorenza, Domenico; Vittori, Eutizio",2007,"Reduction of environmental risk from capable faults: The case of the Eastern Etna region (eastern Sicily, Italy)",,Journal Article,Quaternary International,10.1016/j.quaint.2007.05.010,173-174,,,45–56,1401,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.11 Hazard; 5.2.3 Fault database; 6.2.2 Review; 7.3 Risk; 7.4 Adaptation; 7.15 Response and recovery; 7.24 Vulnerability; 7.28 Industrialization & infrastructure; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 9.4 Persuasion; 11.3.7 Italy; 12.2.3 Volcano; 13.69 2002 earthquake, Santa Venerina; 14.2 Earth Science; 15.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Yue, Xi-liu; Wu, Shao-hong; Huang, Mei; Gao, Jiang-bo; Yin, Yun-he; Feng, Ai-qing; Gu, Xiao-ping",2018,"Spatial association between landslides and environmental factors over Guizhou Karst Plateau, China",,Journal Article,J. Mt. Sci. (Journal of Mountain Science),10.1007/s11629-018-4909-2,15,9,,1987–2000,287,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.11 Hazard; 5.2.8 Landslide database; 5.10.1 Geology (slope, aspect, lithology, etc.); 5.13.10 Precipitation; 5.25 Land use; 6.1.1 Statistical; 6.1.2 Numerical; 7.6 Human activity; 7.21 Loss and damage; 7.29 Attribution; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.4.1.3 Guizhou, China; 12.2.1 Earthquake; 12.4.11 Severe precipitation; 12.7.1 Landslide/debris flow; 14.2 Earth Science; 15.1 Completed; 19 Cluster 3; 21 Complete set",
TRUE,FALSE,FALSE,"Huang, Jyh-Jaan Steven; Wei, Kuo-Yen; Löwemark, Ludvig; Song, Sheng-Rong; Chuang, Chih-Kai; Yang, Tien-Nan; Lee, Meng-Yang; Chen, Yu-Be; Horng, Chorng-Shern; Chen, Kuo-Hang; Lee, Teh-Quei",2019,"What caused the cultural hiatus in the Iron-Age Kiwulan Site, northeastern Taiwan?",,Journal Article,Quaternary International,10.1016/j.quaint.2018.07.005,514,,,186–194,,"2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.11 Hazard; 5.40 Marine / lake / peat core; 6.1.2 Numerical; 7.2 Populations; 7.28 Industrialization & infrastructure; 8.3 Early Holocene (10,000-1500); 9.3 Question-driven; 11.4.8 Taiwan; 12.2.1 Earthquake; 12.4.1 Flood; 12.4.5.1 Cyclone; 12.7.7.2 River aggradation; 13.44 Typhoon Morakot; 14.7 Palaeo Science; 15.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Li, Peijun; Yin, Wei; Li, Peng; Li, Xiaojun; Zhang, Chungui; Stagnitti, Frank; Xiong, Xianzhe",2010,Distribution and migration of nitrobenzene in water following a simulated spill,,Journal Article,Journal of hazardous materials,10.1016/j.jhazmat.2010.06.105,182,1-3,,787–791,,2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.16 Disturbance; 5.7.1 Water chemistry; 6.1.1 Statistical; 7.4 Adaptation; 7.7 Health & psychology; 7.9 Mitigation; 7.32 Migration (chemical); 8.1 Contemporary (>1900); 9.2 Discovery-driven; 11.1 Global; 12.5.5 Pollution / chemicals leaks; 14.2 Earth Science; 14.5 Hydrology; 15.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Ren, Wei; Tian, Hanqin; Cai, Wei-Jun; Lohrenz, Steven E.; Hopkinson, Charles S.; Huang, Wei-Jen; Yang, Jia; Tao, Bo; Pan, Shufen; He, Ruoying",2016,Century-long increasing trend and variability of dissolved organic carbon export from the Mississippi River basin driven by natural and anthropogenic forcing,,Journal Article,Global Biogeochem. Cycles (Global Biogeochemical Cycles),10.1002/2016GB005395,30,9,,1288–1299,624,2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.28 Severe; 5.9.1 Nitrogen deposition; 5.11.2 Atmospheric CO2; 5.13.8 Temperature; 5.13.10 Precipitation; 5.14.5 Water level/flow; 5.15.2 Time Series; 5.18.3 Dissolved organic carbon; 5.25 Land use; 6.1.1 Statistical; 7.5 Climate change; 7.6 Human activity; 7.10 Agriculture; 7.17 Habitat destruction; 7.28 Industrialization & infrastructure; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.5.1.12 North America; 12.4.1 Flood; 12.4.3 Drought; 14.2 Earth Science; 14.5 Hydrology; 15.1 Completed; 18 Cluster 2; 21 Complete set,
TRUE,FALSE,FALSE,"Sexton, David M. H.; Harris, Glen R.",2015,The importance of including variability in climate change projections used for adaptation,,Journal Article,Nature Clim Change (Nature Climate Change),10.1038/NCLIMATE2705,5,10,,931–936,752,2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.50 Uncertainty; 5.13.1 Climate Models (simulation); 5.15.2 Time Series; 6.1.1 Statistical; 7.18 Prediction; 7.25 Climate & circulation; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.4 Persuasion; 11.3.9 UK; 12.3.1 Climate Change; 12.4.3.2 Extreme dry (season); 12.4.7 Severe cold; 12.4.9 Severe heat/heat wave; 12.4.11.1 Extreme wet (season); 14.3 Climate Science; 15.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Yamano, Hiroya; Kayanne, Hajime; Yamaguchi, Toru; Kuwahara, Yuji; Yokoki, Hiromune; Shimazaki, Hiroto; Chikamori, Masashi",2007,"Atoll island vulnerability to flooding and inundation revealed by historical reconstruction: Fongafale Islet, Funafuti Atoll, Tuvalu",,Journal Article,Global and Planetary Change,10.1016/j.gloplacha.2007.02.007,57,3-4,,407–416,1421,2.1 Human-centred; 2.2 Env. centred; 3.3 Subjectively/Visually; 4.77 Extreme event; 5.15.2 Time Series; 5.25 Land use; 5.30 Topography; 6.1.2 Numerical; 7.5 Climate change; 7.24 Vulnerability; 7.28 Industrialization & infrastructure; 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 10.1 Start year; 10.2 End year; 11.2.6 Tuvalu; 12.3.1 Climate Change; 12.4.1 Flood; 12.7.4.1 Sea Level Rise; 14.2 Earth Science; 15.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Ghil, M.; Yiou, P.; Hallegatte, S.; Malamud, B. D.; Naveau, P.; Soloviev, A.; Friederichs, P.; Keilis-Borok, V.; Kondrashov, D.; Kossobokov, V.; Mestre, O.; Nicolis, C.; Rust, H. W.; Shebalin, P.; Vrac, M.; Witt, A.; Zaliapin, I.",2011,"Extreme events: dynamics, statistics and prediction",,Journal Article,Nonlin. Processes Geophys. (Nonlinear Processes in Geophysics),10.5194/npg-18-295-2011,18,3,,295–350,,"2.1 Human-centred; 2.2 Env. centred; 3.4 Statistically; 4.1 Surge; 4.6 Disaster; 4.11 Hazard; 4.17 Magnitude; 4.20 Frequency; 4.23 Overwhelm/Threshold; 4.25 Sharp; 4.45 Shock; 4.48 Exceedence; 5.14.5 Water level/flow; 5.15.2 Time Series; 6.1.1 Statistical; 6.1.2 Numerical; 7.18 Prediction; 7.22 Socio/Politico/Cultural Context; 7.25 Climate & circulation; 7.61 Cycles; 7.62 Long-range Dependence; 7.63 Extreme Value Theory (EVT); 7.64 Dynamical Systems Modelling; 7.65 Spectral Analysis (Frequency Extraction); 8.1 Contemporary (>1900); 8.2 Historical (1500-1900); 8.3 Early Holocene (10,000-1500); 8.5 Projected (future); 9.5 Review; 11.1 Global; 12.2.1 Earthquake; 12.10.3 ENSO; 16.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Goodess, Clare M.",2013,"How is the frequency, location and severity of extreme events likely to change up to 2060?",,Journal Article,Environmental Science & Policy,10.1016/j.envsci.2012.04.001,27,,,S4-S14,1040,"2.1 Human-centred; 2.2 Env. centred; 3.4 Statistically; 4.8 Catastrophic; 4.11 Hazard; 4.13 Impact; 4.19 frequency-magnitude; 4.28 Severe; 4.34 Sequential/simultaneous occurrence; 4.35 Persistence (duration); 4.53 Compounding; 6.2.2 Review; 7.2 Populations; 7.3 Risk; 7.5 Climate change; 7.6 Human activity; 7.7 Health & psychology; 7.10 Agriculture; 7.12 Resource security; 7.17 Habitat destruction; 7.18 Prediction; 7.24 Vulnerability; 7.25 Climate & circulation; 7.28 Industrialization & infrastructure; 8.5 Projected (future); 9.4 Persuasion; 11.1 Global; 12.4.1 Flood; 12.4.2 Storms; 12.4.3 Drought; 12.4.5.1 Cyclone; 12.4.9 Severe heat/heat wave; 12.4.10 Temperature extremes; 12.4.11 Severe precipitation; 12.4.13 Sea surge; 13.11 Pakistan flood (July/August, 2010); 14.2 Earth Science; 15.1 Completed; 17 Cluster 1; 21 Complete set",
TRUE,FALSE,FALSE,"Hong, Chaopeng; Zhang, Qiang; Zhang, Yang; Davis, Steven J.; Tong, Dan; Zheng, Yixuan; Liu, Zhu; Guan, Dabo; He, Kebin; Schellnhuber, Hans Joachim",2019,Impacts of climate change on future air quality and human health in China,,Journal Article,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1812881116,116,35,,17193–17200,75,2.1 Human-centred; 2.2 Env. centred; 3.4 Statistically; 4.12 Intensity; 4.20 Frequency; 5.11.1 Air Pollution Levels; 5.13.1 Climate Models (simulation); 5.15.2 Time Series; 6.1.1 Statistical; 7.5 Climate change; 7.7 Health & psychology; 7.24 Vulnerability; 8.1 Contemporary (>1900); 8.5 Projected (future); 10.1 Start year; 10.2 End year; 11.4.1 China; 12.4.9 Severe heat/heat wave; 12.4.11 Severe precipitation; 12.10.1 Atmospheric stagnation; 14.3 Climate Science; 15.1 Completed; 20 Cluster 4; 21 Complete set,
TRUE,FALSE,FALSE,"Scoccimarro, Enrico; Fogli, Pier Giuseppe; Gualdi, Silvio",2017,The role of humidity in determining scenarios of perceived temperature extremes in Europe,,Journal Article,Environ. Res. Lett. (Environmental Research Letters),10.1088/1748-9326/aa8cdd,12,11,,114029,450,2.1 Human-centred; 2.2 Env. centred; 3.4 Statistically; 4.32 Rare; 4.37 Danger; 5.13.1 Climate Models (simulation); 5.13.8 Temperature; 5.15.2 Time Series; 5.24 Indeces (Composite); 6.1.1 Statistical; 7.2 Populations; 7.7 Health & psychology; 7.13 Human perception; 7.21 Loss and damage; 7.24 Vulnerability; 7.49 Energy use; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.3.19 Europe; 12.4.9 Severe heat/heat wave; 14.3 Climate Science; 15.1 Completed; 19 Cluster 3; 21 Complete set,
TRUE,FALSE,FALSE,"Edwards, Kevin J.; Langdon, Peter G.; Sugden, Heather",2007,Separating climatic and possible human impacts in the early Holocene: biotic response around the time of the 8200 cal. yr BP event,,Journal Article,J. Quaternary Sci. (Journal of Quaternary Science),10.1002/jqs.1018,22,1,,77–84,1434,"2.1 Human-centred; 2.2 Env. centred; 4.2 Abrupt; 4.4 Rapid; 4.17 Magnitude; 4.35 Persistence (duration); 5.3.5 Chironomids; 5.4.4 Pollen; 5.15.2 Time Series; 6.1.2 Numerical; 7.5 Climate change; 7.6 Human activity; 8.3 Early Holocene (10,000-1500); 9.2 Discovery-driven; 10.1 Start year; 10.2 End year; 11.3.18 Scotland; 12.3.1 Climate Change; 13.9 8.2 kya event; 14.7 Palaeo Science; 15.1 Completed; 20 Cluster 4; 21 Complete set",
TRUE,FALSE,FALSE,"Baum, Seth D.",2018,Uncertain human consequences in asteroid risk analysis and the global catastrophe threshold,,Journal Article,Nat Hazards (Natural Hazards),10.1007/s11069-018-3419-4,94,2,,759–775,,2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.3 Subjectively/Visually; 4.8 Catastrophic; 4.28 Severe; 5.34 Lit. Review; 6.2.2 Review; 7.2 Populations; 7.3 Risk; 7.7 Health & psychology; 7.9 Mitigation; 7.10 Agriculture; 7.12 Resource security; 7.14 Early warning systems (EWS); 7.21 Loss and damage; 7.27 Extinction and evolution; 7.28 Industrialization & infrastructure; 7.48 Thresholds/Tipping points; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.4 Persuasion; 9.5 Review; 11.1 Global; 12.6.1 Asteroid; 14.1 Social Science; 15.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Baldwin, Jane Wilson; Dessy, Jay Benjamin; Vecchi, Gabriel A.; Oppenheimer, Michael",2019,Temporally Compound Heat Wave Events and Global Warming: An Emerging Hazard,,Journal Article,Earth's future,10.1029/2018EF000989,7,4,,411–427,,2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 3.4 Statistically; 4.10 Anomalous; 4.11 Hazard; 4.13 Impact; 4.17 Magnitude; 4.20 Frequency; 4.23 Overwhelm/Threshold; 4.28 Severe; 4.29 Dramatic effect; 4.51 Duration; 4.52 Superlative (somethig-est); 4.53 Compounding; 5.13.1 Climate Models (simulation); 5.15.2 Time Series; 6.1.1 Statistical; 6.1.2 Numerical; 6.2.1 Visual; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.14 Early warning systems (EWS); 7.22 Socio/Politico/Cultural Context; 7.24 Vulnerability; 7.35 Capacity; 7.48 Thresholds/Tipping points; 8.1 Contemporary (>1900); 8.5 Projected (future); 9.3 Question-driven; 10 Chronology; 11.1 Global; 12.4.9 Severe heat/heat wave; 14.3 Climate Science; 16.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Sena, Aderita; Barcellos, Christovam; Freitas, Carlos; Corvalan, Carlos",2014,Managing the health impacts of drought in Brazil,,Journal Article,International journal of environmental research and public health,10.3390/ijerph111010737,11,10,,10737–10751,874,2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 4.6 Disaster; 4.14 Exposure; 5.5.5 Census; 5.34 Lit. Review; 6.1.2 Numerical; 6.2.2 Review; 7.1 Resilience; 7.2 Populations; 7.3 Risk; 7.4 Adaptation; 7.6 Human activity; 7.7 Health & psychology; 7.11 Land use & landscape changes; 7.12 Resource security; 7.15 Response and recovery; 7.21 Loss and damage; 7.24 Vulnerability; 7.28 Industrialization & infrastructure; 8.1 Contemporary (>1900); 9.5 Review; 10.1 Start year; 10.2 End year; 11.5.2.5 Brazil; 12.4.3 Drought; 14.1 Social Science; 15.1 Completed; 17 Cluster 1; 21 Complete set,
TRUE,FALSE,FALSE,"Wu, Yanfeng; Bake, Batur; Zhang, Jusong; Rasulov, Hamid",2015,"Spatio-temporal patterns of drought in North Xinjiang, China, 1961–2012 based on meteorological drought index",,Journal Article,J. Arid Land (Journal of Arid Land),10.1007/s40333-015-0125-x,7,4,,527–543,,2.1 Human-centred; 2.3 Policy; 3.1 Quantitatively; 4.10 Anomalous; 4.11 Hazard; 4.23 Overwhelm/Threshold; 5.5.2 Population data (modern); 5.13.1 Climate Models (simulation); 5.15.2 Time Series; 5.20.3 GDP; 6.1.2 Numerical; 7.1 Resilience; 7.3 Risk; 7.4 Adaptation; 7.5 Climate change; 7.8 Management; 7.10 Agriculture; 7.21 Loss and damage; 7.48 Thresholds/Tipping points; 8.1 Contemporary (>1900); 9.2 Discovery-driven; 10 Chronology; 11.4.1 China; 12.3.1 Climate Change; 12.4.1 Flood; 12.4.2 Storms; 12.4.3 Drought; 12.4.9 Severe heat/heat wave; 12.4.10 Temperature extremes; 14.2 Earth Science; 16.1 Completed; 17 Cluster 1; 21 Complete set,
