AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
"Wang, XX; Zhang, XW; Xia, P; Zhang, JJ; Wang, YT; Zhang, R; Giesy, JP; Shi, W; Yu, HX";A high-throughput, computational system to predict if environmental contaminants can bind to human nuclear receptors;SCIENCE OF THE TOTAL ENVIRONMENT;4;2017;576;;609;616;https://doi.org/10.1016/j.scitotenv.2016.10.093
"Viglizzo, EF; Frank, FC";Ecological interactions, feedbacks, thresholds and collapses in the Argentine Pampas in response to climate and farming during the last century;QUATERNARY INTERNATIONAL;55;2006;158;;122;126;https://doi.org/10.1016/j.quaint.2006.05.022
"Ghilardi, M; Psomiadis, D; Cordier, S; Delanghe-Sabatier, D; Demory, F; Hamidi, F; Paraschou, T; Dotsika, E; Fouache, E";The impact of rapid early- to mid-Holocene palaeoenvironmental changes on Neolithic settlement at Nea Nikomideia, Thessaloniki Plain, Greece;QUATERNARY INTERNATIONAL;26;2012;266;;47;61;https://doi.org/10.1016/j.quaint.2010.12.016
"Coumou, D; Rahmstorf, S";A decade of weather extremes;NATURE CLIMATE CHANGE;797;2012;2;7;491;496;https://doi.org/10.1038/NCLIMATE1452
Crombe, P;Abrupt cooling events during the Early Holocene and their potential impact on the environment and human behaviour along the southern North Sea basin (NW Europe);JOURNAL OF QUATERNARY SCIENCE;9;2018;33;3;353;367;https://doi.org/10.1002/jqs.2962
"Jenerette, GD; Harlan, SL; Stefanov, WL; Martin, CA";Ecosystem services and urban heat riskscape moderation: water, green spaces, and social inequality in Phoenix, USA;ECOLOGICAL APPLICATIONS;186;2011;21;7;2637;2651;https://doi.org/10.1890/10-1493.1
Hulme, M;Attributing weather extremes to 'climate change': A review;PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT;61;2014;38;4;499;511;https://doi.org/10.1177/0309133314538644
"Dlugosch, KM; Parker, IM";Invading populations of an ornamental shrub show rapid life history evolution despite genetic bottlenecks;ECOLOGY LETTERS;167;2008;11;7;701;709;https://doi.org/10.1111/j.1461-0248.2008.01181.x
"Bell, LS; Elkerton, A";Unique Marine Taphonomy in Human Skeletal Material Recovered from the Medieval Warship Mary Rose;INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY;32;2008;18;5;523;535;https://doi.org/10.1002/oa.952
"Qiang, Y; Xu, JW";Empirical assessment of road network resilience in natural hazards using crowdsourced traffic data;INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE;0;;;;;;https://doi.org/10.1080/13658816.2019.1694681
"Jiang, DD; Zhang, Y; Sun, JQ";Ensemble projection of 1-3A degrees C warming in China;CHINESE SCIENCE BULLETIN;31;2009;54;18;3326;3334;https://doi.org/10.1007/s11434-009-0313-1
"Maxwell, SL; Venter, O; Jones, KR; Watson, JEM";Integrating human responses to climate change into conservation vulnerability assessments and adaptation planning;YEAR IN ECOLOGY AND CONSERVATION BIOLOGY;12;2015;1355;;98;116;https://doi.org/10.1111/nyas.12952
"Gardezi, M; Arbuckle, JG";Spatially Representing Vulnerability to Extreme Rain Events Using Midwestern Farmers' Objective and Perceived Attributes of Adaptive Capacity;RISK ANALYSIS;6;2019;39;1;17;34;https://doi.org/10.1111/risa.12943
"Qian, WH; Zhu, YF";Climate change in China from 1880 to 1998 and its impact on the environmental condition;CLIMATIC CHANGE;176;2001;50;4;419;444;https://doi.org/10.1023/A:1010673212131
"Jones, TL; Kennett, DJ";Late Holocene Sea temperatures along the central California coast;QUATERNARY RESEARCH;33;1999;51;1;74;82;https://doi.org/10.1006/qres.1998.2000
"Amarnath, G; Matheswaran, K; Pandey, P; Alahacoon, N; Yoshimoto, S";Flood Mapping Tools for Disaster Preparedness and Emergency Response Using Satellite Data and Hydrodynamic Models: A Case Study of Bagmathi Basin, India;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES;3;2017;87;4;941;950;https://doi.org/10.1007/s40010-017-0461-7
"Timmermann, A; Friedrich, T";Late Pleistocene climate drivers of early human migration;NATURE;76;2016;538;7623;92;+;https://doi.org/10.1038/nature19365
"Joyce, LA; Marshall, NA";Managing Climate Change Risks in Rangeland Systems;RANGELAND SYSTEMS: PROCESSES, MANAGEMENT AND CHALLENGES;2;2017;;;491;526;https://doi.org/10.1007/978-3-319-46709-2_15
"Brice, B; Fullerton, C; Hawkes, KL; Mills-Novoa, M; O'Neill, BF; Pawlowski, WM";The Impacts of Climate Change on Natural Areas Recreation: A Multi-Region Snapshot and Agency Comparison;NATURAL AREAS JOURNAL;2;2017;37;1;86;97;https://doi.org/10.3375/043.037.0111
"Marriner, N; Flaux, C; Morhange, C; Stanley, JD";Tracking Nile Delta Vulnerability to Holocene Change;PLOS ONE;18;2013;8;7;;;https://doi.org/10.1371/journal.pone.0069195
"Feio, MJ; Coimbra, CN; Graca, MAS; Nichols, SJ; Norris, RH";The influence of extreme climatic events and human disturbance on macroinvertebrate community patterns of a Mediterranean stream over 15 y;JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY;35;2010;29;4;1397;1409;https://doi.org/10.1899/09-158.1
"Peterman, WL; Ferschweiler, K";A case study for evaluating potential soil sensitivity in aridland systems;INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT;0;2016;12;2;388;396;https://doi.org/10.1002/ieam.1691
"Bisiaux, MM; Edwards, R; Heyvaert, AC; Thomas, JM; Fitzgerald, B; Susfalk, RB; Schladow, SG; Thaw, M";Stormwater and Fire as Sources of Black Carbon Nanoparticles to Lake Tahoe;ENVIRONMENTAL SCIENCE & TECHNOLOGY;14;2011;45;6;2065;2071;https://doi.org/10.1021/es103819v
"Khalid, MA; Ali, Y";Economic impact assessment of natural disaster with multi-criteria decision making for interdependent infrastructures;ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY;0;;;;;;https://doi.org/10.1007/s10668-019-00499-x
"Tichavsky, R; Kluzova, O; Brezny, M; Ondrackova, L; Krpec, P; Tolasz, R; Silhan, K";Increased gully activity induced by short-term human interventions - Dendrogeomorphic research based on exposed tree roots;APPLIED GEOGRAPHY;1;2018;98;;66;77;https://doi.org/10.1016/j.apgeog.2018.07.008
"Gado, TA; El-Hagrsy, RM; Rashwan, IMH";Spatial and temporal rainfall changes in Egypt;ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH;2;2019;26;27;28228;28242;https://doi.org/10.1007/s11356-019-06039-4
Seymour, JE;Revisiting medicalisation and 'natural' death;SOCIAL SCIENCE & MEDICINE;41;1999;49;5;691;704;https://doi.org/10.1016/S0277-9536(99)00170-7
"Zhang, Y; Li, ZQ; Cuesta, J; Li, DG; Wei, P; Xie, YS; Li, L";Aerosol Column Size Distribution and Water Uptake Observed during a Major Haze Outbreak over Beijing on January 2013;AEROSOL AND AIR QUALITY RESEARCH;6;2015;15;3;945;957;https://doi.org/10.4209/aaqr.2014.05.0099
Wuebbles, DJ;Setting the Stage for Risk Management: Severe Weather Under a Changing Climate;RISK ANALYSIS OF NATURAL HAZARDS: INTERDISCIPLINARY CHALLENGES AND INTEGRATED SOLUTIONS;2;2016;19;;61;80;https://doi.org/10.1007/978-3-319-22126-7_5
"Cardenas, OL; Campos, MN; Sevilla, PM; Guerrero, RR; Ocampo, HAG; Moreno, MNH";Estimating Trends and Return Periods of Daily Extreme Precipitation Associated with Tropical Cyclones in the Core North American Monsoon;POLISH JOURNAL OF ENVIRONMENTAL STUDIES;3;2016;25;6;2283;2292;https://doi.org/10.15244/pjoes/64161
"Henry, MJ; Obleser, J";Frequency modulation entrains slow neural oscillations and optimizes human listening behavior;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;151;2012;109;49;20095;20100;https://doi.org/10.1073/pnas.1213390109
"Dainese, M; Aikio, S; Hulme, PE; Bertolli, A; Prosser, F; Marini, L";Human disturbance and upward expansion of plants in a warming climate;NATURE CLIMATE CHANGE;24;2017;7;8;577;580;https://doi.org/10.1038/NCLIMATE3337
"Slater, M; Antley, A; Davison, A; Swapp, D; Guger, C; Barker, C; Pistrang, N; Sanchez-Vives, MV";A Virtual Reprise of the Stanley Milgram Obedience Experiments;PLOS ONE;194;2006;1;1;;;https://doi.org/10.1371/journal.pone.0000039
"Ahn, SM; Hwang, JH";Temporal fluctuation of human occupation during the 7th-3rd millennium cal BP in the central-western Korean Peninsula;QUATERNARY INTERNATIONAL;1;2015;384;;28;36;https://doi.org/10.1016/j.quaint.2015.04.038
"Peng, RD; Bobb, JF; Tebaldi, C; McDaniel, L; Bell, ML; Dominici, F";Toward a Quantitative Estimate of Future Heat Wave Mortality under Global Climate Change;ENVIRONMENTAL HEALTH PERSPECTIVES;153;2011;119;5;701;706;https://doi.org/10.1289/ehp.1002430
"Thordarson, T; Rampino, M; Keszthelyi, LP; Self, S";Effects of megascale eruptions on Earth and Mars;PRESERVATION OF RANDOM MEGASCALE EVENTS ON MARS AND EARTH: INFLUENCE ON GEOLOGIC HISTORY;13;2009;453;;37;53;https://doi.org/10.1130/2009.453(04)
"Guo, AJ; Chang, JX; Wang, YM; Huang, Q; Guo, ZH; Zhou, S";Bivariate frequency analysis of flood and extreme precipitation under changing environment: case study in catchments of the Loess Plateau, China;STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT;3;2018;32;7;2057;2074;https://doi.org/10.1007/s00477-017-1478-9
"Azuara, J; Combourieu-Nebout, N; Lebreton, V; Mazier, F; Muller, SD; Dezileau, L";Late Holocene vegetation changes in relation with climate fluctuations and human activity in Languedoc (southern France);CLIMATE OF THE PAST;13;2015;11;12;1769;1784;https://doi.org/10.5194/cp-11-1769-2015
"Cheung, C; Zhang, H; Hepburn, JC; Yang, DYY; Richards, MP";Stable isotope and dental caries data reveal abrupt changes in subsistence economy in ancient China in response to global climate change;PLOS ONE;0;2019;14;7;;;https://doi.org/10.1371/journal.pone.0218943
"Kershaw, SE; Millward, AA";A spatio-temporal index for heat vulnerability assessment;ENVIRONMENTAL MONITORING AND ASSESSMENT;19;2012;184;12;7329;7342;https://doi.org/10.1007/s10661-011-2502-z
"Bindi, M; Olesen, JE";The responses of agriculture in Europe to climate change;REGIONAL ENVIRONMENTAL CHANGE;124;2011;11;;S151;S158;https://doi.org/10.1007/s10113-010-0173-x
Bickerton, D;From protolanguage to language;SPECIATION OF MODERN HOMO SAPIENS;0;2003;106;;103;120;https://doi.org/
"Woodruff, JD; Martini, AP; Elzidani, EZH; Naughton, TJ; Kekacs, DJ; MacDonald, DG";Off-river waterbodies on tidal rivers: Human impact on rates of infilling and the accumulation of pollutants;GEOMORPHOLOGY;19;2013;184;;38;50;https://doi.org/10.1016/j.geomorph.2012.11.012
"Hossain, F; Jeyachandran, I; Pielke, R";Dam safety effects due to human alteration of extreme precipitation;WATER RESOURCES RESEARCH;24;2010;46;;;;https://doi.org/10.1029/2009WR007704
"Browning, DM; Maynard, JJ; Karl, JW; Peters, DC";Breaks in MODIS time series portend vegetation change: verification using long-term data in an arid grassland ecosystem;ECOLOGICAL APPLICATIONS;10;2017;27;5;1677;1693;https://doi.org/10.1002/eap.1561
Patz, JA;Public health risk assessment linked to climatic and ecological change;HUMAN AND ECOLOGICAL RISK ASSESSMENT;25;2001;7;5;1317;+;https://doi.org/10.1080/20018091095023
"Perkol-Finkel, S; Airoldi, L";Loss and Recovery Potential of Marine Habitats: An Experimental Study of Factors Maintaining Resilience in Subtidal Algal Forests at the Adriatic Sea;PLOS ONE;84;2010;5;5;;;https://doi.org/10.1371/journal.pone.0010791
KALKSTEIN, LS;BIOCLIMATOLOGICAL RESEARCH - THE ISSUE OF CLIMATIC SENSITIVITY;PHYSICAL GEOGRAPHY;4;1991;12;3;274;286;https://doi.org/10.1080/02723646.1991.10642433
"Kirchmeier-Young, MC; Zwiers, FW; Gillett, NP; Cannon, AJ";Attributing extreme fire risk in Western Canada to human emissions;CLIMATIC CHANGE;17;2017;144;2;365;379;https://doi.org/10.1007/s10584-017-2030-0
"Gosling, WD; Bush, MB; Hanselman, JA; Chepstow-Lusty, A";Glacial-interglacial changes in moisture balance and the impact on vegetation in the southern hemisphere tropical Andes (Bolivia/Peru);PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;37;2008;259;1;35;50;https://doi.org/10.1016/j.palaeo.2007.02.050
Magadza, CHD;Climate change impacts and human settlements in Africa: Prospects for adaptation;ENVIRONMENTAL MONITORING AND ASSESSMENT;46;2000;61;1;193;205;https://doi.org/10.1023/A:1006355210516
Alpert, P;The advantages and disadvantages of being introduced;BIOLOGICAL INVASIONS;80;2006;8;7;1523;1534;https://doi.org/10.1007/s10530-005-5844-z
Few, R;Health and climatic hazards: Framing social research on vulnerability, response and adaptation;GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;81;2007;17;2;281;295;https://doi.org/10.1016/j.gloenvcha.2006.11.001
"Huguet, F; Parey, S; Dacunha-Castelle, D; Malek, F";Is there a trend in extremely high river temperature for the next decades? A case study for France;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;7;2008;8;1;67;79;https://doi.org/10.5194/nhess-8-67-2008
"Mitchell, JFB; Lowe, J; Wood, RA; Vellinga, M";Extreme events due to human-induced climate change;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES;68;2006;364;1845;2117;2133;https://doi.org/10.1098/rsta.2006.1816
"Kalkstein, LS; Greene, S; Mills, DM; Samenow, J";An evaluation of the progress in reducing heat-related human mortality in major U.S. cities;NATURAL HAZARDS;34;2011;56;1;113;129;https://doi.org/10.1007/s11069-010-9552-3
"Bakker, J; Paulissen, E; Kaniewski, D; Poblome, J; De Laet, V; Verstraeten, G; Waelkens, M";Climate, people, fire and vegetation: new insights into vegetation dynamics in the Eastern Mediterranean since the 1st century AD;CLIMATE OF THE PAST;22;2013;9;1;57;87;https://doi.org/10.5194/cp-9-57-2013
"Nel, JL; Le Maitre, DC; Nel, DC; Reyers, B; Archibald, S; van Wilgen, BW; Forsyth, GG; Theron, AK; O'Farrell, PJ; Kahinda, JMM; Engelbrecht, FA; Kapangaziwiri, E; van Niekerk, L; Barwell, L";Natural Hazards in a Changing World: A Case for Ecosystem-Based Management;PLOS ONE;25;2014;9;5;;;https://doi.org/10.1371/journal.pone.0095942
"Winter, JM; Bowen, FL; Partridge, TF; Chipman, JW";Future Extreme Event Risk in the Rural Northeastern United States;ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS;1;2019;109;4;1110;1130;https://doi.org/10.1080/24694452.2018.1540920
WESTING, AH;ENVIRONMENTAL REFUGEES - A GROWING CATEGORY OF DISPLACED PERSONS;ENVIRONMENTAL CONSERVATION;35;1992;19;3;201;207;https://doi.org/10.1017/S037689290003099X
"Graham, NAJ; Bellwood, DR; Cinner, JE; Hughes, TP; Norstrom, AV; Nystrom, M";Managing resilience to reverse phase shifts in coral reefs;FRONTIERS IN ECOLOGY AND THE ENVIRONMENT;112;2013;11;10;541;548;https://doi.org/10.1890/120305
"Mendoza-Cantu, A; Heydrich, SC; Cervantes, IS; Orozco, OO";Identification of environmentally vulnerable areas with priority for prevention and management of pipeline crude oil spills;JOURNAL OF ENVIRONMENTAL MANAGEMENT;15;2011;92;7;1706;1713;https://doi.org/10.1016/j.jenvman.2011.02.008
"Smith, TT; Zaitchik, BF; Gohlke, JM";Heat waves in the United States: definitions, patterns and trends;CLIMATIC CHANGE;94;2013;118;04. Mar;811;825;https://doi.org/10.1007/s10584-012-0659-2
"Zhou, XH; Fei, SF; Sherry, R; Luo, YQ";Root Biomass Dynamics Under Experimental Warming and Doubled Precipitation in a Tallgrass Prairie;ECOSYSTEMS;28;2012;15;4;542;554;https://doi.org/10.1007/s10021-012-9525-3
"Lange, W; Sandholz, S; Viezzer, J; Becher, M; Nehren, U";Ecosystem-Based Approaches for Disaster Risk Reduction and Climate Change Adaptation in Rio de Janeiro State;STRATEGIES AND TOOLS FOR A SUSTAINABLE RURAL RIO DE JANEIRO;0;2019;;;345;359;https://doi.org/10.1007/978-3-319-89644-1_22
"Aitkenhead, MJ; Lumsdon, P; Miller, DR";Remote sensing-based neural network mapping of tsunami damage in Aceh, Indonesia;DISASTERS;10;2007;31;3;217;226;https://doi.org/10.1111/j.1467-7717.2007.01005.x
"Mavromichalaki, H; Papailiou, M; Dimitrova, S; Babayev, ES; Loucas, P";Space weather hazards and their impact on human cardio-health state parameters on Earth;NATURAL HAZARDS;13;2012;64;2;1447;1459;https://doi.org/10.1007/s11069-012-0306-2
"Vott, A; Bruins, HJ; Gawehn, M; Goodman-Tchernov, BN; De Martini, PM; Kelletat, D; Mastronuzzi, G; Reicherter, KR; Rotbke, BR; Scheffers, A; Willershatuser, T; Avramidis, P; Bellanova, P; Costa, PJM; Finkler, C; Hadler, H; Koster, B; Lario, J; Reinhardt, E; Mathes-Schmidt, M; Ntageretzis, K; Pantosti, D; Papanikolaou, I; Sanso, P; Scicchitano, G; Smedile, A; Szczucinski, W";Publicity waves based on manipulated geoscientific data suggesting climatic trigger for majority of tsunami findings in the Mediterranean - Response to 'Tsunamis in the geological record: Making waves with a cautionary tale from the Mediterranean' by Marriner et al. (2017);ZEITSCHRIFT FUR GEOMORPHOLOGIE;2;2019;62;;7;45;https://doi.org/10.1127/zfg_suppl/2018/0547
"Pulley, S; Lagesse, J; Ellery, W";The mineral magnetic signatures of fire in the Kromrivier wetland, South Africa;JOURNAL OF SOILS AND SEDIMENTS;2;2017;17;4;1170;1181;https://doi.org/10.1007/s11368-016-1577-0
"Bae, S; Wuertz, S";Rapid decay of host-specific fecal Bacteroidales cells in seawater as measured by quantitative PCR with propidium monoazide;WATER RESEARCH;104;2009;43;19;4850;4859;https://doi.org/10.1016/j.watres.2009.06.053
"Irabien, MJ; Cearreta, A; Gomez-Arozamena, J; Serrano, H; Sanchez-Cabeza, JA; Ruiz-Fernandez, AC";Geological record of extreme floods and anthropogenic impacts on an industrialised bay: The inner Abra of Bilbao (northern Spain);SCIENCE OF THE TOTAL ENVIRONMENT;0;2019;696;;;;https://doi.org/10.1016/j.scitotenv.2019.133946
"Rohli, RV; Bushra, N; Lam, NSN; Zou, L; Mihunov, V; Reams, MA; Argote, JE";Drought indices as drought predictors in the south-central USA;NATURAL HAZARDS;10;2016;83;3;1567;1582;https://doi.org/10.1007/s11069-016-2376-z
"Pricope, NG; Husak, G; Lopez-Carr, D; Funk, C; Michaelsen, J";The climate-population nexus in the East African Horn: Emerging degradation trends in rangeland and pastoral livelihood zones;GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;45;2013;23;6;1525;1541;https://doi.org/10.1016/j.gloenvcha.2013.10.002
"Osuteye, E; Johnson, C; Brown, D";The data gap: An analysis of data availability on disaster losses in sub-Saharan African cities;INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION;11;2017;26;;24;33;https://doi.org/10.1016/j.ijdrr.2017.09.026
"Wang, YF; Zhang, JQ; Guo, EL; Sun, ZY";Fuzzy Comprehensive Evaluation-Based Disaster Risk Assessment of Desertification in Horqin Sand Land, China;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;12;2015;12;2;1703;1725;https://doi.org/10.3390/ijerph120201703
"Benson, BJ; Magnuson, JJ; Jensen, OP; Card, VM; Hodgkins, G; Korhonen, J; Livingstone, DM; Stewart, KM; Weyhenmeyer, GA; Granin, NG";Extreme events, trends, and variability in Northern Hemisphere lake-ice phenology (1855-2005);CLIMATIC CHANGE;87;2012;112;2;299;323;https://doi.org/10.1007/s10584-011-0212-8
"Yeakel, JD; Pires, MM; Rudolf, L; Dominy, NJ; Koch, PL; Guimaraes, PR; Gross, T";Collapse of an ecological network in Ancient Egypt;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;36;2014;111;40;14472;14477;https://doi.org/10.1073/pnas.1408471111
"Yan, GX; Wu, ZY; Li, DH";Comprehensive Analysis of the Persistent Drought Events in Southwest China;DISASTER ADVANCES;8;2013;6;;306;315;https://doi.org/
"Youssef, AM; Pradhan, B; Sefry, SA";Flash flood susceptibility assessment in Jeddah city (Kingdom of Saudi Arabia) using bivariate and multivariate statistical models;ENVIRONMENTAL EARTH SCIENCES;32;2016;75;1;;;https://doi.org/10.1007/s12665-015-4830-8
